---,PlayMode,Level,Dungeon,Difficulty,PartInformation,PartOfLevel,TitleMessage,SubtitleMessage,NumberOfGarbage,NumberOfChests,NumberOfTraps,NumberOfSpiders,PathNumberMax,PathSpreadValues,TimeToGetHungry,bWaitForEndOfTime,PlayModeOfPart,Secret0Character,Secret0Color,Secret0SubColor,Secret0SloganIndex,Secret1Character,Secret1Color,Secret1SubColor,Secret1SloganIndex
0,"PM_CLASSIC","0","0","0","EPI_LEVEL1","EPI_LEVEL1","NSLOCTEXT(""502A61FD42991466F3CE42915CD20A83 [242367234C72F7F10AA8C4A72B1656ED]"", ""552DA96447E175E3C79C1080A2DBC02E"", ""Not a bad start!"")","NSLOCTEXT(""502A61FD42991466F3CE42915CD20A83 [242367234C72F7F10AA8C4A72B1656ED]"", ""A2974CE7428666AAFCD298A39D8D6C76"", ""Clean the dungeon, and feed the creatures. If you succeed three nights, you will be allowed to enter the next dungeon."")","12","4","0","2","1","(1.000000)","250.000000","True","PM_CLASSIC","S","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","I","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
1,"PM_CLASSIC","0","0","0","EPI_LEVEL2","EPI_LEVEL1","NSLOCTEXT(""C85BB0004150D4C6C60C3BA672638B56 [242367234C72F7F10AA8C4A72B1656ED]"", ""00602C844BB0DA149BAF6CAAD6B9DB77"", ""Everything as usual"")","NSLOCTEXT(""C85BB0004150D4C6C60C3BA672638B56 [242367234C72F7F10AA8C4A72B1656ED]"", ""0F53EE0F41DA1C17221C04A0AF2112C7"", ""The dungeon has expanded. More work, but also more chances to die."")","8","2","0","2","1","(1.000000)","300.000000","True","PM_CLASSIC","H","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","G","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
2,"PM_CLASSIC","0","0","0","EPI_LEVEL2","EPI_LEVEL2","","","8","2","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
3,"PM_CLASSIC","0","0","0","EPI_LEVEL3","EPI_LEVEL1","NSLOCTEXT(""49C21A4C4B6A7A72DDEC859D9631FC1D [242367234C72F7F10AA8C4A72B1656ED]"", ""A50DAC8649B11D2D9ED00FA152ACF4D0"", ""Always bigger and bigger"")","NSLOCTEXT(""49C21A4C4B6A7A72DDEC859D9631FC1D [242367234C72F7F10AA8C4A72B1656ED]"", ""0F1FBEA347C9988D85EDAC853D74A96B"", ""Find the trash in the dungeon and burn it in the kitchen to finish your night shift."")","8","2","0","2","1","(1.000000)","250.000000","True","PM_CLASSIC","I","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","H","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
4,"PM_CLASSIC","0","0","0","EPI_LEVEL3","EPI_LEVEL2","","","5","2","1","1","1","(1.000000)","400.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
5,"PM_CLASSIC","0","0","0","EPI_LEVEL3","EPI_LEVEL3","","","6","3","1","1","1","(1.000000)","500.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
6,"PM_CLASSIC","0","0","1","EPI_LEVEL1","EPI_LEVEL1","NSLOCTEXT(""6566F77C44A48861EB0D0591FD82361F [242367234C72F7F10AA8C4A72B1656ED]"", ""D1B92D4C4DD3A2391C31C3ADB0D6088A"", ""This isn\'t over yet"")","NSLOCTEXT(""6566F77C44A48861EB0D0591FD82361F [242367234C72F7F10AA8C4A72B1656ED]"", ""F093319149973EFBA248B3A9AEA9EF4B"", ""There are more secrets, than you might think of !"")","12","4","0","2","1","(1.000000)","200.000000","True","PM_CLASSIC","E","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1","M","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
7,"PM_CLASSIC","0","0","1","EPI_LEVEL2","EPI_LEVEL1","","","10","3","0","2","1","(1.000000)","200.000000","True","PM_CLASSIC","M","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2","E","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2"
8,"PM_CLASSIC","0","0","1","EPI_LEVEL2","EPI_LEVEL2","","","8","4","1","1","1","(1.000000)","250.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
9,"PM_CLASSIC","0","0","1","EPI_LEVEL3","EPI_LEVEL1","","","9","3","0","2","1","(1.000000)","200.000000","True","PM_CLASSIC","H","(R=1.000000,G=0.791667,B=0.974728,A=1.000000)","(R=1.000000,G=0.000000,B=0.878697,A=1.000000)","3","O","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
10,"PM_CLASSIC","0","0","1","EPI_LEVEL3","EPI_LEVEL2","","","8","3","1","1","1","(1.000000)","250.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
